zone,direction,n_2024,n_2025,pct_volume_change,avg_total_cost_2024,avg_total_cost_2025,avg_distance_2024,avg_distance_2025,low_n_flag
121,dropoff,3106,2872,-0.0753,41.95,42.2,8.44,8.469,false
121,pickup,919,759,-0.1741,34.63,37.11,7.305,8.543,false
122,dropoff,1311,1143,-0.1281,44.2,44.59,9.185,9.512,false
122,pickup,407,438,0.0762,40.44,44.73,9.247,11.426,false
123,dropoff,2719,2872,0.0563,56.28,54.05,12.409,11.686,false
123,pickup,918,1128,0.2288,34.32,31.71,7.28,6.608,false
124,dropoff,3344,3641,0.0888,35.77,34.62,7.022,6.817,false
124,pickup,644,621,-0.0357,50.02,53.02,8.54,8.322,false
125,dropoff,78862,81696,0.0359,24.03,24.71,3.271,3.312,false
125,pickup,75474,76183,0.0094,21.44,22.09,2.551,2.561,false
126,dropoff,1451,1329,-0.0841,48.43,47.37,9.303,9.485,false
126,pickup,468,629,0.344,36.82,36.17,7.548,8.016,false
127,dropoff,8839,8213,-0.0708,48.85,48.76,10.384,10.356,false
127,pickup,1081,1136,0.0509,35.53,33.31,7.678,7.446,false
128,dropoff,979,889,-0.0919,48.74,48.02,10.639,10.607,false
128,pickup,89,72,-0.191,36.32,29.71,6.718,5.422,true
129,dropoff,18535,16147,-0.1288,39.01,40.08,6.487,6.412,false
129,pickup,3517,4838,0.3756,37.67,48.15,4.738,3.98,false
130,dropoff,8233,8693,0.0559,38.07,36.63,7.311,7.003,false
130,pickup,3011,3568,0.185,49.13,50.1,9.36,9.3,false
131,dropoff,3036,3014,-0.0072,45.56,45.95,9.388,9.598,false
131,pickup,682,723,0.0601,37.65,42.35,8.638,10.248,false
132,dropoff,161243,151921,-0.0578,74.24,76.94,15.305,14.699,false
132,pickup,728407,754266,0.0355,73.34,73.13,15.957,15.647,false
133,dropoff,3917,3735,-0.0465,59.98,59.39,12.364,12.188,false
133,pickup,626,735,0.1741,33.56,32.09,6.42,6.139,false
134,dropoff,4800,4736,-0.0133,42.51,42.12,7.548,7.255,false
134,pickup,1592,1973,0.2393,57.18,61.34,5.785,5.289,false
135,dropoff,3924,3933,0.0023,39.94,40.09,7.673,7.643,false
135,pickup,607,719,0.1845,38.27,40.76,7.287,7.878,false
136,dropoff,1658,1623,-0.0211,53.85,52.01,11.249,10.981,false
136,pickup,561,871,0.5526,38.08,39.29,7.965,9.512,false
137,dropoff,189244,183436,-0.0307,19.21,19.78,2.173,2.171,false
137,pickup,157479,149385,-0.0514,19.65,20.24,2.274,2.299,false
138,dropoff,176163,168831,-0.0416,60.23,60.97,10.246,10.007,false
138,pickup,534828,516114,-0.035,59.2,59.94,9.719,9.654,false
139,dropoff,2914,3080,0.057,37.83,37.91,8.145,8.26,false
139,pickup,772,816,0.057,47.9,48.22,11.853,12.078,false
140,dropoff,308537,308171,-0.0012,20.29,20.53,2.342,2.336,false
140,pickup,302072,301278,-0.0026,20.01,20.18,2.345,2.307,false
141,dropoff,407663,403952,-0.0091,20.26,19.81,2.201,2.221,false
141,pickup,354859,348972,-0.0166,17.99,18.0,1.927,1.86,false
142,dropoff,439441,427510,-0.0272,19.88,20.26,2.217,2.222,false
142,pickup,510573,488554,-0.0431,19.03,19.3,2.148,2.107,false
143,dropoff,229137,228522,-0.0027,20.73,21.12,2.442,2.464,false
143,pickup,160523,154530,-0.0373,18.44,18.66,2.097,2.082,false
144,dropoff,139938,144208,0.0305,23.21,23.74,2.824,2.821,false
144,pickup,142795,152810,0.0701,21.35,21.74,2.464,2.43,false
145,dropoff,33983,33916,-0.002,35.34,35.4,5.704,5.643,false
145,pickup,6432,7203,0.1199,45.16,47.94,4.788,5.857,false
146,dropoff,11004,10936,-0.0062,33.0,32.63,5.392,5.274,false
146,pickup,5859,5765,-0.016,23.55,25.52,3.124,3.217,false
147,dropoff,1235,1241,0.0049,45.5,44.42,8.746,8.896,false
147,pickup,496,512,0.0323,35.69,36.43,7.407,8.067,false
148,dropoff,150288,153436,0.0209,24.94,25.34,3.292,3.256,false
148,pickup,153012,154714,0.0111,22.21,22.5,2.858,2.79,false
149,dropoff,2118,2213,0.0449,56.89,53.29,12.439,11.484,false
149,pickup,694,862,0.2421,34.94,33.64,7.192,7.077,false
150,dropoff,1263,1303,0.0317,57.41,58.33,13.013,13.171,false
150,pickup,416,460,0.1058,39.45,44.48,8.338,9.699,false
151,dropoff,137014,131275,-0.0419,21.76,22.08,3.011,3.037,false
151,pickup,118042,109832,-0.0696,18.4,18.34,2.303,2.266,false
152,dropoff,18561,16566,-0.1075,26.56,27.16,4.329,4.437,false
152,pickup,8340,7435,-0.1085,20.24,21.04,2.997,3.194,false
153,dropoff,629,688,0.0938,54.43,55.57,11.145,11.462,false
153,pickup,174,190,0.092,32.01,34.37,6.274,8.731,false
154,dropoff,1148,1530,0.3328,48.24,47.53,11.328,11.177,false
154,pickup,205,182,-0.1122,38.47,43.0,6.725,7.243,false
155,dropoff,3688,4379,0.1874,52.34,49.17,11.544,10.83,false
155,pickup,1186,1595,0.3449,37.11,34.24,7.273,6.764,false
156,dropoff,161,173,0.0745,111.51,111.58,23.033,22.826,false
156,pickup,6,4,-0.3333,112.02,17.73,20.688,3.308,true
157,dropoff,4708,5665,0.2033,41.15,42.68,7.687,8.383,false
157,pickup,1412,2363,0.6735,49.25,50.85,5.952,5.965,false
158,dropoff,154381,161743,0.0477,21.24,21.93,2.566,2.57,false
158,pickup,141044,140808,-0.0017,21.91,22.36,2.602,2.578,false
159,dropoff,3344,3305,-0.0117,39.49,38.86,7.298,7.382,false
159,pickup,1278,1508,0.18,31.82,31.61,6.159,6.666,false
160,dropoff,4492,4223,-0.0599,44.0,44.08,8.191,8.152,false
160,pickup,499,604,0.2104,44.51,52.46,7.008,7.111,false
161,dropoff,584687,588846,0.0071,21.58,21.82,2.319,2.23,false
161,pickup,746612,757208,0.0142,21.78,22.88,2.391,2.3,false
162,dropoff,443744,431638,-0.0273,21.15,21.75,2.37,2.352,false
162,pickup,556358,549036,-0.0132,21.19,21.59,2.313,2.262,false
163,dropoff,386830,392570,0.0148,22.57,22.98,2.606,2.564,false
163,pickup,457213,450848,-0.0139,21.59,22.16,2.454,2.379,false
164,dropoff,327295,318454,-0.027,24.43,24.99,2.959,2.916,false
164,pickup,346658,332626,-0.0405,21.71,21.82,2.426,2.346,false
165,dropoff,4081,4288,0.0507,56.54,54.47,11.921,11.429,false
165,pickup,1460,1587,0.087,30.72,30.51,6.098,6.097,false
166,dropoff,103772,101172,-0.0251,23.46,23.77,3.511,3.549,false
166,pickup,66936,64456,-0.0371,20.19,20.25,2.709,2.71,false
167,dropoff,2003,2115,0.0559,47.91,45.13,9.271,8.949,false
167,pickup,1047,1302,0.2436,35.1,35.24,7.175,7.587,false
168,dropoff,7706,7853,0.0191,37.12,37.03,6.643,6.667,false
168,pickup,1823,2098,0.1509,31.23,31.1,5.608,6.026,false
169,dropoff,2231,2132,-0.0444,51.49,50.1,10.509,10.371,false
169,pickup,882,1088,0.2336,37.07,36.99,8.099,8.412,false
170,dropoff,457708,443819,-0.0303,20.94,21.48,2.314,2.279,false
170,pickup,448327,434449,-0.031,21.15,21.22,2.313,2.224,false
171,dropoff,2473,2164,-0.1249,46.74,48.94,9.202,9.79,false
171,pickup,297,333,0.1212,39.74,42.48,8.563,10.276,false
172,dropoff,150,242,0.6133,98.26,81.43,20.323,19.012,false
172,pickup,6,5,-0.1667,45.68,70.77,10.18,17.982,true
173,dropoff,2554,1984,-0.2232,40.22,40.5,7.153,7.265,false
173,pickup,337,359,0.0653,33.9,34.57,6.333,6.876,false
174,dropoff,1779,2010,0.1298,59.5,55.34,12.913,12.214,false
174,pickup,674,969,0.4377,44.23,43.47,10.154,10.838,false
175,dropoff,1560,1529,-0.0199,53.1,53.37,11.654,11.855,false
175,pickup,276,197,-0.2862,40.23,40.55,9.43,9.271,false
176,dropoff,99,106,0.0707,114.7,115.46,24.283,24.048,true
176,pickup,,,,,,,,true
177,dropoff,4246,4544,0.0702,42.77,41.5,8.381,8.237,false
177,pickup,2009,2307,0.1483,32.55,31.66,6.381,6.367,false
178,dropoff,1274,1350,0.0597,61.79,60.62,13.191,12.96,false
178,pickup,292,367,0.2568,33.69,32.0,6.631,6.012,false
179,dropoff,12272,12284,0.001,35.33,34.68,6.1,5.951,false
179,pickup,1995,2240,0.1228,23.95,25.9,3.621,3.956,false
180,dropoff,1777,1909,0.0743,36.51,35.67,7.041,6.771,false
180,pickup,401,458,0.1421,44.02,47.73,7.34,6.915,false
181,dropoff,39424,40396,0.0247,51.37,51.04,9.737,9.63,false
181,pickup,4319,4998,0.1572,27.15,26.4,4.594,4.405,false
182,dropoff,1939,2377,0.2259,54.51,50.73,11.62,11.022,false
182,pickup,1151,1328,0.1538,40.47,39.12,9.105,9.447,false
183,dropoff,629,717,0.1399,61.45,59.26,13.142,13.124,false
183,pickup,237,275,0.1603,43.02,45.29,10.03,11.911,false
184,dropoff,118,111,-0.0593,66.89,61.66,13.354,13.547,false
184,pickup,35,40,0.1429,64.58,127.27,11.142,13.977,true
185,dropoff,1592,1579,-0.0082,60.4,58.64,12.72,12.445,false
185,pickup,473,584,0.2347,36.91,40.6,8.019,9.737,false
186,dropoff,330134,329529,-0.0018,20.66,21.03,2.143,2.092,false
186,pickup,523321,556872,0.0641,22.11,22.0,2.312,2.244,false
187,dropoff,126,108,-0.1429,109.36,113.62,22.077,21.636,false
187,pickup,3,1,-0.6667,13.03,73.09,1.63,15.7,true
188,dropoff,11723,12206,0.0412,48.04,46.46,9.218,8.91,false
188,pickup,3810,4471,0.1735,30.46,29.36,5.926,5.649,false
189,dropoff,13089,13500,0.0314,48.32,47.99,8.928,8.804,false
189,pickup,1293,1387,0.0727,26.18,26.48,4.43,4.672,false
190,dropoff,2063,1689,-0.1813,45.89,46.07,8.225,8.422,false
